"ID_R","ID_C","supid","yr","n","latn","lonn","demn","ban","arean","duran","mortn","m0.fitted.n","sp.fitted.n"
2,1,0,6,163441,41.3001862101615,-123.784478707148,345.199178174387,47.740832288104,0.064035339969775,12.0830085474269,0.00176822217191525,-2.32877035601361,-2.47876349352268
7,2,0,6,138815,38.7941271881641,-123.30177225534,368.376408169146,38.3030074559666,0.102762669740302,19.7507834167777,0.00915607102978785,-1.98051222572996,-2.13360709433677
5,3,0,6,112797,39.8036210792397,-122.842341080658,1540.99795898827,36.875171059514,0.124551184871938,18.9697066411341,0.0819436687145935,-1.89790667855534,-1.63869304153101
8,3,0,6,80841,38.3097405323413,-122.838262569426,143.663437488403,44.3794985217897,0.102299575710345,28.4730149305427,0.205539268440519,-1.49559863930974,-1.15320732398142
2,5,0,6,130686,41.3262411907167,-121.789248896209,1678.46785967893,34.4856491896607,0.152495294063633,23.4365808120227,0.00491253845094348,-1.62636001815481,-1.01806983554091
12,5,0,6,7763,36.2647595162952,-121.609375,313.78981321654,35.1488071621796,0.158701532912534,33.52621409249,0.126239855725879,-1.70203804491481,-0.996753320916837
4,6,0,6,167358,40.2738300902855,-121.275471033652,1990.22367768496,36.1805053836685,0.0310233152881846,19.4780769368659,0.00603496695706211,-1.75438949343409,-1.69569225063072
13,6,0,6,36946,35.8501520800628,-121.207758451524,698.137097656039,21.0533470470416,0.276592865262816,19.7784063227413,0.0120446056406648,-1.98075316645768,-1.72548376468406
1,7,0,6,43714,41.8355353834012,-120.698885797456,1523.05952166354,15.2849720913209,0.0707324884476369,26.3308551036281,0.0468728553781397,-1.73789848156863,-1.70289476968305
6,8,0,6,144114,39.3085072841639,-120.29420610593,2196.7097234828,35.4591141735015,0.123277405387402,19.1079700792428,0.0739414630084516,-1.80223281215211,-1.83930809660581
7,8,0,6,111217,38.798476036712,-120.269555098366,1617.17966255159,42.470626343095,0.208295494393843,17.7528705143998,0.00186122625138243,-1.81191900031198,-1.65153775783636
6,9,0,6,66146,39.2449954456808,-119.808309931817,2351.59462990959,0,0.110588697729266,18.784779124966,0.0031899132222659,-2.1833795526469,-2.11819701206795
7,9,0,6,113691,38.7729224663782,-119.774377067006,2181.42142614631,16.2776722871643,0.14609775619882,20.0767694892296,0.0289468823389714,-1.88957796690575,-1.79568272939533
8,9,0,6,58087,38.3031425383477,-119.807807954017,2277.64415204779,35.5680004131733,0.100418338010226,16.0092619691153,0.0910358600030988,-1.91052230891501,-1.49803706154576
11,11,0,6,117107,36.8439532062558,-118.778647545621,2310.51269053088,54.5474696644949,0.123126713176838,26.3127823272733,0.194505879238645,-1.46978304726231,-1.58919088215318
13,12,0,6,51177,35.7670044038338,-118.15750208834,2156.86442757489,22.2984750962346,0.183949821208746,26.6654747249741,0.0482834085624402,-1.6027879768681,-1.65228080240722
14,12,0,6,51762,35.3622921979444,-118.263431064294,1820.73618755071,18.7644892005718,0.175321664541556,19.0125188362119,0.00714810092345736,-1.8981944876461,-2.04749914654622
7,2,0,7,138185,38.7945570023881,-123.302231496725,368.271635488657,38.2975567536274,0.122068241849694,29.1006549191302,0.0119839345804537,-1.69898075154316,-1.65062612814828
5,3,0,7,59991,39.8594562621893,-122.793062969862,1633.3272364188,36.5301881948959,0.0993982430697938,14.7337600640096,0.0162691070327216,-1.92642803322239,-2.01897822001369
8,3,0,7,73549,38.3183734228202,-122.829709402915,138.143419081157,44.3122397313356,0.100178112550816,28.7678690396878,0.292797998613169,-1.47972558455821,-1.16541389592081
3,4,0,7,96993,40.8279822706278,-122.316121878641,695.988179250049,31.3822515026858,0.0865835678863423,19.1580217129071,0.00419617910570866,-2.22192912709858,-2.51537951212438
8,4,0,7,22023,38.1418694376334,-122.40080895541,366.853698860282,30.5394074376788,0.169322980520365,26.5058802161377,0.00399582254915316,-1.77064306593809,-1.60895845080805
9,4,0,7,2233,37.984375,-122.484375,39.9,13.82,0.051500223914017,16,0.0107478728168383,-2.21988019459372,-2.27425055528944
2,5,0,7,120092,41.339740053459,-121.788198318789,1698.19695283616,34.7295679145988,0.115561402924425,20.0421010558572,0.00333910668487493,-1.73541130632829,-2.10062302445148
3,5,0,7,40441,40.7369219202047,-121.91523415284,710.449465394031,36.9698444647758,0.21700749239633,26.6759971316238,0.00133527855394278,-1.99123288774243,-2.26886968056825
