"ID_R","ID_C","supid","yr","n","latn","lonn","demn","ban","arean","duran","mortn","m0.fitted.n","sp.fitted.n"
1,2,0,5,175262,41.7771687887277,-123.306155391642,1048.33106857162,44.1092503223745,0.110919651721423,15.9039323983522,0.00121532334447855,-2.48005924312187,-2.63865127067111
3,2,0,5,176574,40.7908343314984,-123.292744295593,963.658679703694,35.5374634997225,0.149274525128275,18.220162651353,0.00147813381358524,-2.36513029848336,-2.47518785497549
4,2,0,5,23832,40.2365831654918,-123.407566507217,1076.95218571668,22.8759919436052,0.185171198388721,31.7892749244713,0.00419603893924136,-1.8011556151898,-2.18772924462737
2,3,0,5,34691,41.2241165756248,-122.93156231083,1655.3709051339,28.6030987864288,0.133204577556138,34.0119915828313,0.116370240119916,-1.56655681493971,-1.12381155878171
4,3,0,5,84473,40.3235588220496,-122.832674160679,1201.65920317735,35.8009733287559,0.0994045434635919,19.7698199424668,0.00426171676156879,-2.27478053733843,-2.12647253404161
5,3,0,5,73477,39.8316945693891,-122.802365663745,1634.17875090164,37.1026862827824,0.0553370442451379,26.5539964886971,0.108101855002246,-1.76120183250631,-1.36257058070891
8,3,0,5,96385,38.3109195868133,-122.842863094621,145.765375213986,44.4670590859574,0.094371530839861,21.9457280697204,0.149058463453857,-1.75301393930631,-1.30978517528923
9,4,0,5,2464,37.984375,-122.484375,39.9,13.82,0.0746753246753247,13,0.09375,-2.17713094259064,-1.49432702016841
2,5,0,5,134351,41.3205689993003,-121.794087990599,1670.5448763314,34.2945835907436,0.16314727839763,24.036211118637,0.0200370670854702,-1.87996379873734,-1.32197661229493
12,5,0,5,8103,36.2687295600395,-121.609375,317.642734789584,34.5087609527336,0.159570529433543,28.5236332222634,0.103048253733185,-1.93601419426017,-1.18790107861795
4,6,0,5,167358,40.2738300902855,-121.275471033652,1990.22367768496,36.1805053836685,0.0377394567334696,24.4464680505264,0.0192043403960372,-1.87383721661718,-1.97153969139796
5,6,0,5,10975,39.9087485763098,-121.38944333713,1559.13374578588,40.1281138952164,0.0193166287015945,31.66715261959,0.0849202733485194,-1.70903494070079,-1.38556352951656
1,7,0,5,41121,41.8258307038982,-120.68892985032,1523.59410982223,15.4867306242552,0.07922959072007,41.4150434084774,0.00535006444395808,-1.56321572972757,-1.71136797732162
2,7,0,5,33482,41.2888370990383,-120.890824734186,1466.37952213129,13.9038913446031,0.0668717519861418,22.7596021743026,0.00818350158294009,-1.97178147901125,-1.64759700968891
4,7,0,5,63998,40.3186686498016,-120.759836733179,1754.26469936561,33.2668309947186,0.100143754492328,25.1647551485984,0.00512516016125504,-1.84562678284992,-1.86478522458517
6,8,0,5,142611,39.310605970963,-120.296154070338,2195.50699174678,35.2800445267195,0.0710884854604484,31.1804559255597,0.0190658504603432,-1.58420198906261,-1.75296244811177
7,8,0,5,111822,38.7983527950672,-120.269389353168,1617.24254216523,42.452798018279,0.143469084795479,26.4190230902685,0.0103020872458014,-1.75244522087138,-1.73972822240875
6,9,0,5,66966,39.2434411679061,-119.808231509273,2354.12472194845,0,0.0785174566197772,33.5227727503509,0.00646596780455754,-1.91380300704762,-2.01785574004197
7,9,0,5,50304,38.7748091603053,-119.85906687341,2049.06982387087,13.4810816237277,0.115179707379135,21.3645038167939,0.00111323155216285,-2.06698248181191,-2.13374937885831
8,9,0,5,67406,38.2996399615761,-119.78273308385,2288.3968725336,37.5042343411566,0.0531258344954455,38.9631190101771,0.276785449366525,-1.24538604624512,-0.996974819498904
15,9,0,5,1584,34.984375,-119.984375,1133.44,9.16,0.208964646464646,11,0.00631313131313131,-2.40657714807419,-2.3059208674637
9,10,0,5,37983,37.7495495517732,-119.216643383224,2670.83208935576,23.6867166890451,0.0769818076507911,37.215069899692,0.0811415633309639,-1.49569584326879,-1.45524599811519
9,11,0,5,7947,37.609375,-118.777708962502,2272.6143047691,13.4958789480307,0.287907386435133,4.65861331319995,0.00390084308544105,-2.80706494197934,-2.89332888136855
10,11,0,5,34739,37.2253289710412,-118.828778983995,2859.44278275137,42.1646886784306,0.073893894470192,27.8672385503325,0.0017559515242235,-1.77295188324058,-2.15914132558497
11,11,0,5,92922,36.8299376762231,-118.805102330449,2247.49104905189,57.0345233636814,0.146004175545081,32.7582811390198,0.0220615139579432,-1.51362234825794,-1.75651200392587
12,12,0,5,48904,36.318442765418,-118.273024701456,2808.78397022738,26.9404936201538,0.0715892360543105,29.4983027973172,0.00993783739571405,-1.82244308158052,-2.08922883947051
13,12,0,5,54898,35.7799549846989,-118.150708472986,2176.7313954971,22.4147934350978,0.155342635432985,61.2209734416554,0.135724434405625,-0.754579284682987,-0.851395553883926
14,12,0,5,54084,35.4180545540271,-118.185391012129,2040.2201593817,24.0387752385179,0.0893794837659936,42.0617927668072,0.359533318541528,-1.28904037090246,-1.28306640408422
18,15,0,5,9080,33.1390418502203,-116.895897577093,1032.89469493392,10.7916200440529,0.282709251101322,45.2309471365639,0.00176211453744493,-1.5789211693958,-2.08043495407263
2,1,0,6,163441,41.3001862101615,-123.784478707148,345.199178174387,47.740832288104,0.0791233533813425,16.7091488671753,0.00176822217191525,-2.18537647568011,-2.61360759548604
7,2,0,6,138815,38.7941271881641,-123.30177225534,368.376408169146,38.3030074559666,0.130396570975759,20.0277995893816,0.00915607102978785,-2.04499079960271,-1.97370971397418
